Created Date,Complaint Type
2012-01-01,409
2012-01-02,1055
2012-01-03,2452
2012-01-04,3807
2012-01-05,1729
2012-01-06,858
2012-01-07,475
2012-01-08,774
2012-01-09,995
2012-01-10,927
2012-01-11,836
2012-01-12,871
2012-01-13,1339
2012-01-14,1721
2012-01-15,2167
2012-01-16,2467
2012-01-17,1320
2012-01-18,1209
2012-01-19,1549
2012-01-20,1378
2012-01-21,1766
2012-01-22,1552
2012-01-23,1152
2012-01-24,628
2012-01-25,777
2012-01-26,815
2012-01-27,604
2012-01-28,649
2012-01-29,792
2012-01-30,1069
2012-01-31,667
2012-02-01,430
2012-02-02,700
2012-02-03,795
2012-02-04,689
2012-02-05,736
2012-02-06,776
2012-02-07,740
2012-02-08,1045
2012-02-09,830
2012-02-10,680
2012-02-11,797
2012-02-12,1335
2012-02-13,1329
2012-02-14,727
2012-02-15,641
2012-02-16,699
2012-02-17,569
2012-02-18,520
2012-02-19,596
2012-02-20,884
2012-02-21,704
2012-02-22,439
2012-02-23,428
2012-02-24,624
2012-02-25,899
2012-02-26,908
2012-02-27,578
2012-02-28,728
2012-02-29,752
2012-03-01,727
2012-03-02,748
2012-03-03,468
2012-03-04,640
2012-03-05,934
2012-03-06,1072
2012-03-07,448
2012-03-08,313
2012-03-09,574
2012-03-10,800
2012-03-11,456
2012-03-12,326
2012-03-13,211
2012-03-14,235
2012-03-15,478
2012-03-16,488
2012-03-17,324
2012-03-18,342
2012-03-19,207
2012-03-20,213
2012-03-21,202
2012-03-22,143
2012-03-23,134
2012-03-24,180
2012-03-25,524
2012-03-26,954
2012-03-27,1061
2012-03-28,383
2012-03-29,488
2012-03-30,507
2012-03-31,774
2012-04-01,516
2012-04-02,564
2012-04-03,431
2012-04-04,234
2012-04-05,431
2012-04-06,558
2012-04-07,427
2012-04-08,304
2012-04-09,359
2012-04-10,334
2012-04-11,524
2012-04-12,360
2012-04-13,241
2012-04-14,170
2012-04-15,89
2012-04-16,115
2012-04-17,114
2012-04-18,172
2012-04-19,153
2012-04-20,119
2012-04-21,97
2012-04-22,386
2012-04-23,628
2012-04-24,751
2012-04-25,486
2012-04-26,529
2012-04-27,760
2012-04-28,701
2012-04-29,244
2012-04-30,421
2012-05-01,237
2012-05-02,422
2012-05-03,274
2012-05-04,152
2012-05-05,121
2012-05-06,127
2012-05-07,199
2012-05-08,197
2012-05-09,150
2012-05-10,153
2012-05-11,172
2012-05-12,97
2012-05-13,50
2012-05-14,118
2012-05-15,118
2012-05-16,109
2012-05-17,96
2012-05-18,74
2012-05-19,104
2012-05-20,75
2012-05-21,117
2012-05-22,106
2012-05-23,98
2012-05-24,110
2012-05-25,100
2012-05-26,78
2012-05-27,64
2012-05-28,89
2012-05-29,129
2012-05-30,83
2012-05-31,101
2012-06-01,67
2012-06-02,71
2012-06-03,82
2012-06-04,109
2012-06-05,95
2012-06-06,99
2012-06-07,85
2012-06-08,68
2012-06-09,63
2012-06-10,58
2012-06-11,86
2012-06-12,87
