Created Date,Complaint Type
2012-01-01,197
2012-01-02,131
2012-01-03,134
2012-01-04,126
2012-01-05,132
2012-01-06,184
2012-01-07,294
2012-01-08,199
2012-01-09,199
2012-01-10,197
2012-01-11,161
2012-01-12,180
2012-01-13,199
2012-01-14,225
2012-01-15,188
2012-01-16,151
2012-01-17,163
2012-01-18,178
2012-01-19,189
2012-01-20,177
2012-01-21,190
2012-01-22,204
2012-01-23,164
2012-01-24,231
2012-01-25,233
2012-01-26,137
2012-01-27,244
2012-01-28,284
2012-01-29,229
2012-01-30,138
2012-01-31,200
2012-02-01,215
2012-02-02,201
2012-02-03,224
2012-02-04,281
2012-02-05,259
2012-02-06,166
2012-02-07,186
2012-02-08,195
2012-02-09,180
2012-02-10,196
2012-02-11,255
2012-02-12,189
2012-02-13,114
2012-02-14,175
2012-02-15,207
2012-02-16,175
2012-02-17,213
2012-02-18,309
2012-02-19,268
2012-02-20,180
2012-02-21,203
2012-02-22,233
2012-02-23,241
2012-02-24,184
2012-02-25,228
2012-02-26,222
2012-02-27,154
2012-02-28,216
2012-02-29,161
2012-03-01,202
2012-03-02,192
2012-03-03,250
2012-03-04,244
2012-03-05,204
2012-03-06,222
2012-03-07,250
2012-03-08,328
2012-03-09,252
2012-03-10,281
2012-03-11,274
2012-03-12,277
2012-03-13,332
2012-03-14,372
2012-03-15,252
2012-03-16,238
2012-03-17,341
2012-03-18,378
2012-03-19,334
2012-03-20,336
2012-03-21,386
2012-03-22,407
2012-03-23,408
2012-03-24,418
2012-03-25,315
2012-03-26,210
2012-03-27,205
2012-03-28,276
2012-03-29,252
2012-03-30,228
2012-03-31,304
2012-04-01,295
2012-04-02,173
2012-04-03,286
2012-04-04,261
2012-04-05,186
2012-04-06,236
2012-04-07,294
2012-04-08,304
2012-04-09,200
2012-04-10,224
2012-04-11,247
2012-04-12,247
2012-04-13,348
2012-04-14,438
2012-04-15,557
2012-04-16,539
2012-04-17,376
2012-04-18,284
2012-04-19,336
2012-04-20,372
2012-04-21,481
2012-04-22,243
2012-04-23,156
2012-04-24,270
2012-04-25,281
2012-04-26,261
2012-04-27,234
2012-04-28,363
2012-04-29,321
2012-04-30,202
2012-05-01,313
2012-05-02,206
2012-05-03,274
2012-05-04,314
2012-05-05,451
2012-05-06,405
2012-05-07,302
2012-05-08,269
2012-05-09,256
2012-05-10,314
2012-05-11,374
2012-05-12,507
2012-05-13,561
2012-05-14,361
2012-05-15,277
2012-05-16,344
2012-05-17,361
2012-05-18,523
2012-05-19,581
2012-05-20,552
2012-05-21,245
2012-05-22,239
2012-05-23,410
2012-05-24,281
2012-05-25,441
2012-05-26,526
2012-05-27,510
2012-05-28,526
2012-05-29,302
2012-05-30,277
2012-05-31,349
2012-06-01,314
2012-06-02,412
2012-06-03,436
2012-06-04,237
2012-06-05,277
2012-06-06,361
2012-06-07,405
2012-06-08,439
2012-06-09,601
2012-06-10,549
2012-06-11,350
2012-06-12,234
2012-06-13,305
2012-06-14,416
2012-06-15,430
2012-06-16,683
2012-06-17,596
2012-06-18,343
2012-06-19,351
2012-06-20,274
2012-06-21,307
2012-06-22,217
2012-06-23,453
2012-06-24,485
2012-06-25,230
2012-06-26,316
2012-06-27,287
2012-06-28,407
2012-06-29,308
2012-06-30,412
2012-07-01,339
2012-07-02,232
2012-07-03,326
2012-07-04,405
2012-07-05,254
2012-07-06,263
2012-07-07,352
2012-07-08,300
2012-07-09,265
2012-07-10,235
2012-07-11,307
2012-07-12,270
2012-07-13,282
2012-07-14,410
2012-07-15,327
2012-07-16,170
2012-07-17,225
2012-07-18,156
2012-07-19,285
2012-07-20,251
2012-07-21,574
2012-07-22,505
2012-07-23,203
2012-07-24,273
2012-07-25,298
2012-07-26,218
2012-07-27,219
2012-07-28,377
2012-07-29,477
2012-07-30,264
2012-07-31,299
