EDT,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2014-1-1,33,29,24,19,13,5,59,49,38,30.40,30.34,30.26,10,10,10,14,6,23,0.00,2,,314
2014-1-2,33,26,18,23,20,14,84,70,56,30.22,29.98,29.68,10,7,0,21,12,28,0.33,8,Fog-Snow,58
2014-1-3,18,14,9,12,1,-7,84,63,42,30.48,30.07,29.65,10,6,0,21,10,29,0.29,2,Snow,336
2014-1-4,29,19,8,16,3,-5,66,51,35,30.53,30.41,30.30,10,10,10,9,5,20,0.00,0,,268
2014-1-5,40,34,27,38,27,17,92,75,58,30.33,30.22,29.84,10,3,0,7,4,17,0.14,7,Fog-Rain,63
2014-1-6,55,37,19,52,34,3,100,72,43,29.73,29.55,29.41,10,5,0,18,9,29,0.36,7,Fog-Rain,230
2014-1-7,19,12,4,-8,-12,-16,49,42,35,30.38,30.14,29.78,10,10,10,23,13,38,0.00,0,,284
2014-1-8,22,16,9,2,-3,-8,55,47,39,30.56,30.49,30.40,10,10,10,15,7,23,0.00,2,,285
2014-1-9,32,27,22,14,8,2,57,45,33,30.65,30.59,30.50,10,10,10,12,3,16,0.00,1,,237
2014-1-10,37,34,30,34,28,16,92,71,49,30.59,30.41,30.22,10,4,1,8,3,11,0.11,8,Rain-Snow,51
2014-1-11,58,48,37,55,48,34,93,89,85,30.23,29.76,29.32,10,4,0,17,7,28,0.50,8,Fog-Rain,169
2014-1-12,54,46,38,50,32,24,83,64,45,30.07,29.70,29.42,10,9,2,20,8,31,0.05,5,Rain,281
2014-1-13,51,44,37,38,31,25,66,59,52,30.15,30.04,29.90,10,10,7,14,5,24,0.00,0,,197
2014-1-14,52,48,44,45,41,36,93,75,56,29.88,29.77,29.55,10,8,2,13,5,22,0.38,6,Rain,236
2014-1-15,45,40,34,40,37,34,93,85,66,29.85,29.85,29.85,8,8,8,4,4,,0.00,3,,270
2014-1-16,41,38,35,39,30,26,93,73,61,29.98,29.93,29.86,10,10,10,5,5,,T,8,,340
2014-1-17,45,39,32,28,23,16,75,60,45,,,,,,,,,,0.00,,,-1
2014-1-18,39,34,28,34,26,18,100,70,56,,,,,,,,,,0.10,,,-1
2014-1-19,36,31,25,21,16,10,75,60,44,,,,,,,,,,0.00,,,-1
2014-1-20,45,40,34,28,22,18,64,52,40,,,,,,,,,,0.00,,,-1
2014-1-21,33,23,12,16,10,3,100,68,35,,,,,,,,,,0.00,,,-1
2014-1-22,18,13,7,3,-2,-6,67,55,42,,,,,,,,,,0.02,,,-1
2014-1-23,19,14,9,3,-1,-6,63,53,43,,,,,,,,,,0.00,,,-1
2014-1-24,19,15,10,0,-4,-9,55,42,28,,,,,,,,,,0.00,,,-1
