day,visits
2014-07-08,15
2014-07-18,21
2014-07-21,4
2014-07-23,25
2014-07-25,3
2014-07-28,5
2014-07-29,13
2014-07-30,22
2014-07-31,20
2014-08-08,18
2014-08-09,6
2014-08-14,22
2014-08-15,2
2014-08-16,8
2014-08-18,5
2014-08-19,14
2014-08-20,30
2014-08-21,11
2014-08-22,5
2014-08-25,47
2014-08-26,6
2014-08-27,23
2014-08-28,1
2014-08-31,3
2014-09-09,15
2014-09-14,5
2014-09-15,16
2014-09-16,8
2014-09-17,16
2014-09-18,6
2014-09-22,13
2014-09-23,3
2014-09-24,5
2014-09-25,1
2014-09-26,31
2014-09-29,3
2014-09-30,32
2014-10-09,10
2014-10-13,2
2014-10-14,3
