day	hour	value
1	0	16
1	1	32
1	2	26
1	3	13
1	4	14
1	5	14
1	6	47
1	7	81
1	8	157
1	9	283
1	10	287
1	11	249
1	12	222
1	13	291
1	14	271
1	15	333
1	16	270
1	17	146
1	18	143
1	19	130
1	20	84
1	21	92
1	22	87
1	23	80
2	0	157
2	1	29
2	2	29
2	3	18
2	4	7
2	5	10
2	6	60
2	7	73
2	8	184
2	9	254
2	10	347
2	11	259
2	12	188
2	13	350
2	14	314
2	15	297
2	16	191
2	17	148
2	18	145
2	19	125
2	20	105
2	21	88
2	22	76
2	23	72
3	0	162
3	1	66
3	2	27
3	3	12
3	4	17
3	5	25
3	6	53
3	7	91
3	8	154
3	9	217
3	10	229
3	11	278
3	12	226
3	13	304
3	14	305
3	15	224
3	16	206
3	17	142
3	18	133
3	19	127
3	20	90
3	21	106
3	22	79
3	23	77
4	0	157
4	1	40
4	2	17
4	3	7
4	4	18
4	5	20
4	6	57
4	7	86
4	8	142
4	9	188
4	10	193
4	11	327
4	12	184
4	13	198
4	14	351
4	15	268
4	16	160
4	17	116
4	18	125
4	19	126
4	20	83
4	21	89
4	22	89
4	23	96
5	0	121
5	1	43
5	2	18
5	3	26
5	4	23
5	5	20
5	6	46
5	7	63
5	8	136
5	9	218
5	10	277
5	11	251
5	12	177
5	13	279
5	14	218
5	15	148
5	16	155
5	17	87
5	18	80
5	19	88
5	20	27
5	21	24
5	22	35
5	23	19
6	0	439
6	1	12
6	2	11
6	3	15
6	4	11
6	5	10
6	6	13
6	7	14
6	8	26
6	9	54
6	10	62
6	11	44
6	12	62
6	13	48
6	14	56
6	15	60
6	16	61
6	17	77
6	18	53
6	19	40
6	20	64
6	21	71
6	22	65
6	23	72
7	0	441
7	1	61
7	2	32
7	3	19
7	4	22
7	5	15
7	6	23
7	7	12
7	8	32
7	9	49
7	10	59
7	11	67
7	12	48
7	13	53
7	14	62
7	15	66
7	16	62
7	17	86
7	18	85
7	19	93
7	20	70
7	21	57
7	22	69
7	23	62
1	0	118
1	1	24
1	2	21
1	3	16
1	4	8
1	5	6
1	6	47
1	7	52
1	8	91
1	9	150
1	10	156
1	11	171
1	12	148
1	13	114
1	14	129
1	15	147
1	16	110
1	17	88
1	18	74
1	19	82
1	20	97
1	21	70
1	22	81
1	23	86
2	0	173
2	1	27
2	2	13
2	3	13
2	4	9
2	5	19
2	6	42
2	7	83
2	8	144
2	9	223
2	10	226
2	11	230
2	12	193
2	13	225
2	14	241
2	15	259
2	16	224
2	17	117
2	18	111
2	19	88
2	20	101
2	21	115
2	22	108
2	23	73
3	0	167
3	1	29
3	2	14
3	3	8
3	4	10
3	5	17
3	6	47
3	7	70
3	8	134
3	9	210
3	10	313
3	11	256
3	12	203
3	13	301
3	14	293
3	15	312
3	16	206
3	17	143
3	18	120
3	19	130
3	20	122
3	21	81
3	22	80
3	23	74
4	0	138
4	1	41
4	2	19
4	3	11
4	4	17
4	5	25
4	6	50
4	7	71
4	8	154
4	9	220
4	10	222
4	11	275
4	12	240
4	13	272
4	14	255
4	15	220
4	16	241
4	17	138
4	18	123
4	19	177
4	20	80
4	21	98
4	22	93
4	23	98
5	0	1308
5	1	36
5	2	34
5	3	13
5	4	10
5	5	14
5	6	37
5	7	52
5	8	103
5	9	201
5	10	285
5	11	286
5	12	206
5	13	242
5	14	208
5	15	268
5	16	148
5	17	113
5	18	86
5	19	101
5	20	90
